Gender,Age,Occupation,Marital status,Monthly income,5:00 AM - 5:30 AM,5:30 AM - 6:00 AM,6:00 AM - 6:30 AM,6:30 AM - 7:00 AM,7:00 AM - 7:30 AM,7:30 AM - 8:00 AM,8:00 AM - 8:30 AM,8:30 AM - 9:00 AM,9:00 AM - 9:30 AM,9:30 AM - 10:00 AM,10:00 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:30 AM,11:30 AM - 12:00 PM,12:00 PM - 12:30 PM,12:30 PM - 1:00 PM,1:00 PM - 1:30 PM,1:30 PM - 2:00 PM,2:00 PM - 2:30 PM,2:30 PM - 3:00 PM,3:00 PM - 3:30 PM,3:30 PM - 4:00 PM,4:00 PM - 4:30 PM,4:30 PM - 5:00 PM,5:00 PM - 5:30 PM,5:30 PM - 6:00 PM,6:00 PM - 6:30 PM,6:30 PM - 7:00 PM,7:00 PM - 7:30 PM,7:30 PM - 8:00 PM,8:00 PM - 8:30 PM,8:30 PM - 9:00 PM,9:00 PM - 9:30 PM,9:30 PM - 10:00 PM,10:00 PM - 10:30 PM,10:30 PM - 11:00 PM,11:00 PM - 11:30 PM,11:30 PM - 12:00 AM,12:00 AM - 12:30 AM,12:30 AM - 1:00 AM,1:00 AM - 1:30 AM,1:30 AM - 2:00 AM,2:00 AM - 2:30 AM,2:30 AM - 3:00 AM,3:00 AM - 3:30 AM,3:30 AM - 4:00 AM,4:00 AM - 4:30 AM,4:30 AM - 5:00 AM
Male,24,Student,Single,150000,Exercise,Sleeping,Study,Study,Study,Study,Work,Socializing,Work,Work,Traveling,Religion or Spiritual Activities,Exercise,Shopping,Phone Calls,Traveling,Traveling,Housework,Sleeping,Phone Calls,Phone Calls,Housework,Religion or Spiritual Activities,Sleeping,Sleeping,Study,Study,Study,Study,Study,Study,Study,Study,Study,Sleeping,Sleeping,Study,Study,Study,Study,Sleeping,Sleeping,Study,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Male,33,Service holder,Married,50000,Housework,Traveling,Work,Housework,Eating,Sports,Personal Care,Personal Care,Phone Calls,Work,Sports,Volunteering,Phone Calls,Phone Calls,Shopping,Shopping,Shopping,Phone Calls,Personal Care,Work,Housework,Housework,Shopping,Housework,Work,Work,Housework,Phone Calls,Work,Sports,Sports,Sports,Work,Eating,Phone Calls,Sports,Work,Personal Care,Housework,Traveling,Shopping,Work,Work,Work,Phone Calls,Shopping,Phone Calls,Volunteering
Male,22,Student,Single,100000,Religion or Spiritual Activities,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care,Eating,Entertainment,Entertainment,Entertainment,Personal Care,Religion or Spiritual Activities,Religion or Spiritual Activities,Religion or Spiritual Activities,Socializing,Socializing,Eating,Study,Study,Sleeping,Religion or Spiritual Activities,Entertainment,Entertainment,Religion or Spiritual Activities,Study,Study,Study,Religion or Spiritual Activities,Entertainment,Entertainment,Eating,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care
Male,26,Student,Single,20000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Socializing,Socializing,Exercise,Housework,Eating,Work,Work,Work,Work,Work,Work,Socializing,Socializing,Socializing,Socializing,Exercise,Exercise,Socializing,Socializing,Family Time,Video Games,Video Games,Eating,Video Games,Study,Study,Study,Study,Socializing,Socializing,Socializing,Sleeping,Sleeping,Sleeping
Male,24,Student,Single,40000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Entertainment,Entertainment,Study,Study,Study,Study,Exercise,Exercise,Eating,Sleeping,Sleeping,Sleeping,Study,Study,Study,Study,Entertainment,Entertainment,Entertainment,Entertainment,Study,Study,Study,Study,Eating,Entertainment,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Male,25,Researcher,Single,70000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Study,Study,Study,Study,Study,Study,Study,Study,Sports,Sports,Sports,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Personal Care,Study,Study,Study,Video Games,Video Games,Video Games,Eating,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Sleeping,Sleeping
Male,26,Student,Single,100000,Religion or Spiritual Activities,Religion or Spiritual Activities,Exercise,Reading or Writing,Eating,Study,Study,Study,Study,Study,Study,Eating,Study,Study,Exercise,Housework,Personal Care,Religion or Spiritual Activities,Religion or Spiritual Activities,Study,Study,Study,Sleeping,Sleeping,Study,Socializing,Religion or Spiritual Activities,Study,Study,Study,Religion or Spiritual Activities,Eating,Study,Study,Study,Study,Study,Study,Socializing,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Male,25,Service holder,Single,10000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Traveling,University Class,University Class,University Class,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Study,Study,Study,Study,Study,Study,Study,Study,Study,Study,Study,Study,Study,Study,Study,Study,Study,Study,Study,Sleeping,Sleeping,Sleeping
Male,22,Student,Single,70000,Religion or Spiritual Activities,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Exercise,Eating,Personal Care,Religion or Spiritual Activities,Reading or Writing,Reading or Writing,Reading or Writing,Eating,Socializing,Traveling,Traveling,Traveling,Traveling,Religion or Spiritual Activities,Housework,Study,Study,Study,Entertainment,Entertainment,Family Time,Eating,Religion or Spiritual Activities,Religion or Spiritual Activities,Study,Study,Reading or Writing,Reading or Writing,Exercise,Video Games,Video Games,Video Games,Video Games,Entertainment,Entertainment
Female,22,Student,Single,30000,Religion or Spiritual Activities,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Cooking,Eating,Eating,Family Time,Family Time,Entertainment,Entertainment,Cooking,Cooking,Cooking,Cooking,Personal Care,Personal Care,Eating,Eating,Entertainment,Sleeping,Sleeping,Religion or Spiritual Activities,Family Time,Religion or Spiritual Activities,Eating,Entertainment,Study,Study,Study,Study,Entertainment,Entertainment,Eating,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
