Gender,Age,Occupation,Marital status,Monthly income,5:00 AM - 5:30 AM,5:30 AM - 6:00 AM,6:00 AM - 6:30 AM,6:30 AM - 7:00 AM,7:00 AM - 7:30 AM,7:30 AM - 8:00 AM,8:00 AM - 8:30 AM,8:30 AM - 9:00 AM,9:00 AM - 9:30 AM,9:30 AM - 10:00 AM,10:00 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:30 AM,11:30 AM - 12:00 PM,12:00 PM - 12:30 PM,12:30 PM - 1:00 PM,1:00 PM - 1:30 PM,1:30 PM - 2:00 PM,2:00 PM - 2:30 PM,2:30 PM - 3:00 PM,3:00 PM - 3:30 PM,3:30 PM - 4:00 PM,4:00 PM - 4:30 PM,4:30 PM - 5:00 PM,5:00 PM - 5:30 PM,5:30 PM - 6:00 PM,6:00 PM - 6:30 PM,6:30 PM - 7:00 PM,7:00 PM - 7:30 PM,7:30 PM - 8:00 PM,8:00 PM - 8:30 PM,8:30 PM - 9:00 PM,9:00 PM - 9:30 PM,9:30 PM - 10:00 PM,10:00 PM - 10:30 PM,10:30 PM - 11:00 PM,11:00 PM - 11:30 PM,11:30 PM - 12:00 AM,12:00 AM - 12:30 AM,12:30 AM - 1:00 AM,1:00 AM - 1:30 AM,1:30 AM - 2:00 AM,2:00 AM - 2:30 AM,2:30 AM - 3:00 AM,3:00 AM - 3:30 AM,3:30 AM - 4:00 AM,4:00 AM - 4:30 AM,4:30 AM - 5:00 AM
Male,24,Student,Single,150000,Sleeping,Exercise,Eating,Phone Calls,Study,Study,Study,Study,Study,Study,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Study,Study,Study,Study,Study,Study,Study,Study,Study,Study,Study,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Study,Sleeping,Housework
Male,33,Service holder,Married,50000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Work,Work,Work,Exercise,Family Time,Study,Eating,Housework,Eating,Eating,Housework,Work,Work,Work,Family Time,Family Time,Work,Family Time,Family Time,Study,Exercise,Sports,Sports,Sports,Sports,Sports,Eating,Family Time,Work,Work,Video Games,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Male,22,Student,Single,100000,Religion or Spiritual Activities,Study,Sleeping,Traveling,Traveling,Eating,University Class,University Class,University Class,University Class,University Class,University Class,Socializing,Traveling,Personal Care,Religion or Spiritual Activities,Religion or Spiritual Activities,Eating,Study,Study,University Class,University Class,University Class,Religion or Spiritual Activities,Socializing,Socializing,Religion or Spiritual Activities,Study,Study,Study,Religion or Spiritual Activities,Study,Entertainment,Eating,Entertainment,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Personal Care
Male,26,Student,Single,20000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,Eating,Work,Work,University Class,University Class,University Class,Travelling,Travelling,Socializing,Socializing,Socializing,Family Time,Study,Study,Video Games,Video Games,Eating,Video Games,Video Games,Study,Study,Socializing,Socializing,Socializing,Sleeping,Sleeping,Sleeping,Sleeping
Male,24,Student,Single,40000,Sleeping,Sleeping,Sleeping,Traveling,Traveling,Traveling,University Class,University Class,University Class,University Class,University Class,University Class,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,University Class,University Class,University Class,Travelling,Travelling,Travelling,Travelling,Eating,Sleeping,Sleeping,Study,Study,Study,Study,Entertainment,Entertainment,Study,Study,Eating,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Male,25,Researcher,Single,70000,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Eating,Study,Study,Study,Study,Travelling,Travelling,Travelling,Travelling,Work,Work,Work,Work,Study,Study,Entertainment,Entertainment,Entertainment,Exercise,Exercise,Personal Care,Study,Study,Study,Study,Video Games,Video Games,Eating,Study,Study,Study,Study,Study,Study,Entertainment,Sleeping,Sleeping
Male,26,Student,Single,100000,Sleeping,Religion or Spiritual Activities,Sleeping,Sleeping,Sleeping,Sleeping,Reading or Writing,Reading or Writing,Study,Study,Study,Study,Study,Study,Eating,Eating,Religion or Spiritual Activities,Religion or Spiritual Activities,Study,Study,Study,Study,Study,Entertainment,Entertainment,Phone Calls,Religion or Spiritual Activities,Travelling,University Class,University Class,University Class,University Class,Travelling,Religion or Spiritual Activities,Personal Care,Eating,Study,Study,Phone Calls,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Male,25,Service holder,Single,10000,Sleeping,Sleeping,Study,Study,Study,Study,Traveling,Traveling,Traveling,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Work,Travelling,Travelling,Work,Work,Work,Work,Work,Work,Eating,Work,Work,Work,Work,Work,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Male,22,Student,Single,70000,Religion or Spiritual Activities,Sleeping,Sleeping,Sleeping,Sleeping,Exercise,University Class,University Class,University Class,Eating,Study,University Class,University Class,University Class,Study,Study,Eating,University Class,University Class,University Class,University Class,University Class,Socializing,University Class,University Class,University Class,Travelling,Travelling,Travelling,Video Games,Study,Study,Family Time,Family Time,Eating,Housework,Housework,Religion or Spiritual Activities,Personal Care,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
Female,22,Student,Single,30000,Sleeping,Religion or Spiritual Activities,Eating,Traveling,Traveling,Traveling,Traveling,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,University Class,Eating,Socializing,Socializing,Work,Work,Work,Work,Religion or Spiritual Activities,Work,Eating,Travelling,Travelling,Travelling,Travelling,Travelling,Travelling,Personal Care,Eating,Study,Study,Study,Entertainment,Entertainment,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping,Sleeping
